,year,gdp_growth,Passengers,Flights,RPK(Billion),rpk_growth
0,1990,5.699910813983933,370351682,5094647,283.0430438922185,
1,1991,3.2698310430008704,366617228,5087475,283.80182632962345,0.26808022800017817
2,1992,5.881623871405428,383290289,5264356,296.8434098515493,4.595313458898831
3,1993,5.187335497616319,390897113,5352385,299.8487914347958,1.0124467929907954
4,1994,6.250263812723911,425984733,5637357,322.2650775156822,7.475863408894523
5,1995,4.837399609577653,440656525,6045211,337.624430292,4.766061806858479
6,1996,5.6726011000950205,467661360,6186117,364.15255494800004,7.8572882397925925
7,1997,6.2482737857880055,481741183,6194662,380.92894864000004,4.606968553164648
8,1998,5.65737429179245,491766457,6239502,389.1339926079981,2.153956531077994
9,1999,6.2712842560785464,511155321,6532298,410.2770942301821,5.433373085831383
10,2000,6.435148973436178,533754431,6810936,434.56336778,5.919480734206517
11,2001,3.2287440229941566,496561518,6612077,410.6213803107359,-5.509435273289043
12,2002,3.2808692063611478,485776408,6708502,406.7301385539189,-0.9476471375826412
13,2003,4.825107757533664,508709730,7850421,423.58883718339575,4.144934695377134
14,2004,6.6403317188278965,546244317,8260516,465.0133510282826,9.779415841157268
15,2005,6.72823180393094,568078428,8313719,486.0491909450986,4.523706657088344
16,2006,5.954247029169046,564651903,7952131,486.1914705691406,0.029272679945280267
17,2007,4.767399247646664,579107985,7997781,498.3503919464833,2.5008504084017114
18,2008,2.0424907665189895,554915258,7626363,477.40032833205555,-4.20388223888013
19,2009,-1.9756075238822057,526150065,7103988,453.6645088058641,-4.971890071613439
