,year,airport,city,population,most_popular_route,number_of_passengers,latitude,longitude
13,1990,ATL,"Atlanta, GA",3087755,ATL-ORD,773986,33.6366996765137,-84.4281005859375
29,1990,BOS,"Boston, MA",8269386,BOS-ORD,651208,42.36429977,-71.00520325
34,1990,BWI,"Baltimore, MD",2389165,BWI-ORD,295104,39.17539978,-76.66829681
44,1990,CLE,"Cleveland, OH",2103367,CLE-ORD,386602,41.4117012024,-81.8498001099
46,1990,CLT,"Charlotte, NC",1029829,CLT-ATL,384772,35.2140007019043,-80.9430999755859
62,1990,DFW,"Dallas, TX",8019250,DFW-IAH,760366,32.896800994873,-97.0380020141602
66,1990,DTW,"Detroit, MI",8503650,DTW-ORD,750215,42.2123985290527,-83.353401184082
77,1990,EWR,"Newark, NJ",16868983,EWR-ORD,708301,40.6925010681152,-74.168701171875
109,1990,IAD,"Washington, DC",8270942,IAD-EWR,120359,38.94449997,-77.45580292
126,1990,LAX,"Los Angeles, CA",22585772,LAX-SFO,1816069,33.94250107,-118.4079971
130,1990,LGA,"New York, NY",33737966,LGA-ATL,716619,40.77719879,-73.87259674
158,1990,MSP,"Minneapolis, MN",2548237,MSP-ORD,695052,44.8819999695,-93.2218017578
169,1990,ORD,"Chicago, IL",16395048,ORD-EWR,705144,41.97859955,-87.90480042
178,1990,PHX,"Phoenix, AZ",2245805,PHX-ORD,551859,33.4342994689941,-112.012001037598
181,1990,PIT,"Pittsburgh, PA",2468674,PIT-EWR,239779,40.49150085,-80.23290253
205,1990,SEA,"Seattle, WA",5154164,SEA-LAX,669627,47.4490013122559,-122.30899810791
206,1990,SFO,"San Francisco, CA",7436126,SFO-LAX,1803672,37.6189994812012,-122.375
219,1990,STL,"St. Louis, MO",2584656,STL-ORD,605506,38.7486991882324,-90.370002746582
249,1991,ATL,"Atlanta, GA",3163883,ATL-ORD,633817,33.6366996765137,-84.4281005859375
268,1991,BNA,"Nashville, TN",1067021,BNA-DFW,301500,36.1245002746582,-86.6781997680664
