,level_0,index,year,Airport,Traffic,Airport_Lat,Airport_Long
0,88,93,1990,FOE,120,38.9509010315,-95.6635971069
1,90,95,1990,FTW,120,32.8198013306,-97.3623962402
2,19,21,1990,BFF,135,41.87400055,-103.5960007
3,3,3,1990,ACT,142,31.6112995147705,-97.2304992675781
4,215,225,1990,SPI,163,39.84410095,-89.67790222
5,68,72,1990,EDF,182,61.2509994506836,-149.807006835938
6,140,147,1990,MCN,232,32.692798614502,-83.6492004394531
7,70,74,1990,EKO,236,40.8249015808105,-115.791999816895
8,163,173,1990,OGD,256,41.195899963379,-112.0120010376
9,107,112,1990,HUF,278,39.4514999389648,-87.3076019287109
10,195,205,1990,ROW,340,33.3016014099121,-104.53099822998
11,210,220,1990,SKA,395,47.6151008606,-117.65599823
12,50,54,1990,COU,414,38.8180999755859,-92.219596862793
13,187,197,1990,RDG,844,40.3785018920898,-75.965202331543
14,227,238,1990,TWF,932,42.48180008,-114.487999
15,158,166,1990,MTJ,1742,38.5097999573,-107.893997192
16,57,61,1990,CYS,1783,41.15570068,-104.8119965
17,216,226,1990,SPS,2340,33.98880005,-98.49189758
18,1,1,1990,ABI,3124,32.4113006592,-99.6819000244
19,86,91,1990,FMN,3162,36.7411994934,-108.230003357
20,190,200,1990,RFD,3453,42.1954002380371,-89.0971984863281
21,76,80,1990,EWN,3486,35.0730018616,-77.0429000854
22,38,42,1990,CEC,4744,41.78020096,-124.23699949999998
23,174,184,1990,PGV,4762,35.6352005,-77.38529968
24,20,22,1990,BFI,4851,47.5299987792969,-122.302001953125
25,207,217,1990,SHR,6918,44.7691993713379,-106.980003356934
26,92,97,1990,GCC,6984,44.3488998413,-105.539001465
27,206,216,1990,SHD,7785,38.2638015747,-78.8964004517
28,212,222,1990,SLE,10636,44.90950012,-123.0029984
29,178,188,1990,PIH,12721,42.9098014831543,-112.596000671387
30,159,167,1990,MWH,13715,47.20769882,-119.3199997
31,201,211,1990,SBP,13982,35.2368011475,-120.641998291
32,138,145,1990,MCE,17092,37.28469849,-120.51399989999999
33,9,11,1990,ALW,22348,46.09489822,-118.288002
34,131,137,1990,LMT,23534,42.1561012268066,-121.733001708984
35,42,46,1990,CIC,24312,39.79539871,-121.8580017
36,172,182,1990,PDT,24413,45.695098877,-118.841003418
37,230,243,1990,YNG,24533,41.26070023,-80.67910004
38,152,160,1990,MOD,27968,37.62580109,-120.9540024
39,69,73,1990,EFD,34920,29.6072998047,-95.1587982178
40,114,119,1990,ISO,35820,35.331401825,-77.6088027954
41,169,179,1990,OSH,38166,43.9844017028809,-88.556999206543
42,170,180,1990,OXR,46287,34.200801849365,-119.20700073242
43,67,71,1990,EAT,53504,47.3988990784,-120.207000732
44,226,237,1990,TVC,55577,44.7414016723633,-85.5821990966797
45,135,142,1990,LYH,61836,37.3266983032227,-79.2004013061523
46,231,244,1990,YUM,65394,32.65660095,-114.6060028
47,45,49,1990,CLM,68956,48.1202011108398,-123.5
48,56,60,1990,CWA,69043,44.7775993347,-89.6668014526
49,95,100,1990,GJT,70063,39.1223983765,-108.527000427
50,84,89,1990,FLG,75791,35.13850021,-111.6709976
51,30,34,1990,BTM,76806,45.9547996520996,-112.497001647949
52,186,196,1990,RDD,77358,40.50899887,-122.2929993
53,134,141,1990,LWS,77500,46.3745002746582,-117.014999389648
54,54,58,1990,CSG,88722,32.516300201416,-84.9389038085938
55,202,212,1990,SCK,89549,37.894199371338,-121.2379989624
56,218,228,1990,STS,90495,38.50899887,-122.8130035
57,205,215,1990,SGF,94014,37.24570084,-93.38860321
58,182,192,1990,PUW,95053,46.7439,-117.110001
59,6,7,1990,ADQ,95126,57.75,-152.4940033
60,64,68,1990,DRO,95997,37.1515007019,-107.753997803
61,229,242,1990,YKM,96059,46.56819916,-120.54399870000002
62,51,55,1990,CPR,98271,42.90800095,-106.4639969
63,188,198,1990,RDM,104897,44.2541008,-121.1500015
64,128,134,1990,LFT,107667,30.20529938,-91.98760223
65,161,171,1990,OAJ,107850,34.8292007446,-77.6120986938
66,115,120,1990,ITH,108930,42.4910011291504,-76.4583969116211
67,4,4,1990,ACV,112421,40.978099822998,-124.10900115966801
68,181,191,1990,PUB,119077,38.2891006469727,-104.497001647949
69,97,102,1990,GPT,121082,30.4073009490967,-89.0700988769531
70,87,92,1990,FNT,123281,42.9654006958008,-83.7435989379883
71,133,139,1990,LSE,145221,43.879002,-91.256699
72,78,82,1990,EYW,155734,24.5561008453369,-81.7595977783203
73,5,5,1990,ACY,158148,39.4575996398926,-74.5772018432617
74,48,52,1990,CMI,158393,40.03919983,-88.27809906
75,153,161,1990,MOT,167651,48.2593994140625,-101.279998779297
76,40,44,1990,CHO,170929,38.138599395752,-78.4529037475586
77,94,99,1990,GFK,171029,47.949299,-97.176102
78,27,30,1990,BLI,172570,48.7928009033203,-122.53800201416
79,83,87,1990,FCA,176641,48.3105010986328,-114.25599670410199
80,71,75,1990,ELM,178184,42.1599006652832,-76.8916015625
81,75,79,1990,EVV,182335,38.0369987488,-87.5324020386
82,177,187,1990,PIA,185160,40.6641998291,-89.6932983398
83,219,229,1990,SUX,185506,42.40259933,-96.38439941
84,103,108,1990,HLN,185580,46.6068000793457,-111.983001708984
85,22,24,1990,BGM,196237,42.20869827,-75.97979736
86,168,178,1990,ORH,206698,42.2672996520996,-71.8757019042969
87,21,23,1990,BFL,206819,35.43360138,-119.0569992
88,117,122,1990,JAC,215046,43.6072998046875,-110.737998962402
89,63,67,1990,DLH,217401,46.8420982361,-92.1936035156
90,122,127,1990,KTN,222258,55.35559845,-131.7140045
91,185,195,1990,RAP,224647,44.0452995300293,-103.056999206543
92,111,116,1990,IDA,249299,43.5145988464355,-112.07099914550801
93,146,153,1990,MGM,257631,32.30059814,-86.39399719
94,73,77,1990,ERI,261383,42.0831270134,-80.1738667488
95,112,117,1990,ILM,264157,34.2705993652344,-77.9026031494141
96,82,86,1990,FAY,273037,34.9911994934082,-78.8803024291992
97,15,17,1990,AVL,276686,35.4361991882324,-82.5418014526367
98,150,158,1990,MLU,291802,32.5108985900879,-92.0376968383789
99,145,152,1990,MFR,295104,42.3741989135742,-122.87300109863298
100,196,206,1990,RST,302557,43.9082984924316,-92.5
101,13,15,1990,ATW,308466,44.2580986023,-88.5190963745
102,7,8,1990,AGS,316476,33.3698997497559,-81.9645004272461
103,121,126,1990,JNU,328714,58.3549995422363,-134.57600402832
104,155,163,1990,MSO,330082,46.91630173,-114.0910034
105,96,101,1990,GNV,332228,29.6900997162,-82.2717971802
106,26,29,1990,BIS,334940,46.7727012634277,-100.746002197266
107,199,209,1990,SBA,337499,34.42620087,-119.8399963
108,35,39,1990,BZN,342583,45.77750015,-111.1529999
109,80,84,1990,FAR,357380,46.9207000732422,-96.815803527832
110,74,78,1990,EUG,368640,44.1245994567871,-123.21199798584
111,123,128,1990,LAN,371714,42.7787017822266,-84.58740234375
112,53,57,1990,CRW,375259,38.3731002807617,-81.5932006835938
113,16,18,1990,AVP,375465,41.3385009766,-75.7233963013
114,102,107,1990,GTF,384104,47.48199844,-111.3710022
115,17,19,1990,AZO,388341,42.2349014282227,-85.5521011352539
116,160,168,1990,MYR,410512,33.6796989441,-78.9282989502
117,132,138,1990,LNK,429834,40.851001739502,-96.7592010498047
118,222,233,1990,TOL,432707,41.58679962,-83.80780029
119,137,144,1990,MBS,436817,43.532901763916,-84.0795974731445
120,200,210,1990,SBN,466127,41.7086982727051,-86.3172988891602
121,39,43,1990,CHA,470481,35.0353012084961,-85.2037963867188
122,79,83,1990,FAI,478177,64.81510162,-147.8560028
123,25,28,1990,BIL,497552,45.8077011108398,-108.542999267578
124,98,103,1990,GRB,500432,44.4850997924805,-88.1296005249023
125,89,94,1990,FSD,501378,43.5820007324,-96.741897583
126,37,41,1990,CAK,503902,40.9160995483398,-81.4421997070312
127,193,203,1990,ROA,544437,37.3255004883,-79.975402832
128,147,154,1990,MHT,572357,42.9325981140137,-71.4356994628906
129,91,96,1990,FWA,584066,40.97850037,-85.19509888
130,43,47,1990,CID,585983,41.8847007751465,-91.7108001708984
131,32,36,1990,BTV,653735,44.4719009399,-73.1532974243
132,23,25,1990,BGR,660158,44.8073997497559,-68.8281021118164
133,127,133,1990,LEX,666573,38.0364990234375,-84.6059036254883
134,208,218,1990,SHV,708174,32.4466018676758,-93.8255996704102
135,81,85,1990,FAT,714979,36.7761993408203,-119.718002319336
136,61,65,1990,DET,719579,42.40919876,-83.00990295
137,0,0,1990,ABE,754699,40.652099609375,-75.440803527832
138,221,232,1990,TLH,758074,30.3964996337891,-84.35030364990229
139,52,56,1990,CRP,851937,27.7703990936279,-97.5011978149414
140,49,53,1990,COS,852082,38.805801391602,-104.70099639893
141,154,162,1990,MSN,876888,43.1399002075195,-89.3375015258789
142,180,190,1990,PNS,882729,30.473400115967,-87.186599731445
143,10,12,1990,AMA,916554,35.2193984985352,-101.706001281738
144,142,149,1990,MDT,921138,40.1935005188,-76.7633972168
145,184,194,1990,PWM,947598,43.64619826999999,-70.30930328
146,106,111,1990,HSV,959112,34.637199401855,-86.775100708008
147,228,239,1990,TYS,960385,35.81100082,-83.9940033
148,151,159,1990,MOB,964316,30.691200256348,-88.242797851562
149,31,35,1990,BTR,972081,30.53319931,-91.14959717
150,118,123,1990,JAN,1033673,32.3111991882,-90.0758972168
151,101,106,1990,GSP,1081788,34.8956985474,-82.2189025879
152,110,115,1990,ICT,1120540,37.6498985290527,-97.4330978393555
153,198,208,1990,SAV,1129015,32.12760162,-81.20210266
154,36,40,1990,CAE,1149982,33.9388008117676,-81.119499206543
155,65,69,1990,DSM,1196696,41.5340003967285,-93.6631011962891
156,136,143,1990,MAF,1259188,31.9424991607666,-102.202003479004
157,99,104,1990,GRR,1261796,42.88079834,-85.52279663
158,116,121,1990,ITO,1369374,19.721399307251,-155.048004150391
159,93,98,1990,GEG,1386802,47.6198997497559,-117.533996582031
160,126,131,1990,LBB,1390368,33.6636009216309,-101.822998046875
161,41,45,1990,CHS,1429698,32.89860153,-80.04049683
162,8,10,1990,ALB,1841962,42.7482986450195,-73.8016967773438
163,191,201,1990,RIC,1855303,37.505199432373,-77.3197021484375
164,166,176,1990,OMA,1946881,41.3031997680664,-95.8940963745117
165,130,136,1990,LIT,1950624,34.7294006348,-92.2242965698
166,100,105,1990,GSO,2035050,36.0978012084961,-79.9373016357422
167,183,193,1990,PVD,2146384,41.7326011657715,-71.4204025268555
168,24,26,1990,BHM,2271908,33.56290054,-86.75350189
169,225,236,1990,TUS,2438341,32.1161003112793,-110.94100189209
170,11,13,1990,ANC,2456524,61.1744003295898,-149.996002197266
171,194,204,1990,ROC,2497167,43.1189002990723,-77.6724014282227
172,220,230,1990,SYR,2498340,43.111198425293,-76.1063003540039
173,213,223,1990,SMF,2554512,38.6954002380371,-121.591003417969
174,192,202,1990,RNO,2603430,39.4990997314453,-119.767997741699
175,119,124,1990,JAX,2795727,30.4941005706787,-81.6878967285156
176,162,172,1990,OAK,2857308,37.7212982177734,-122.221000671387
177,165,175,1990,OKC,3217304,35.3931007385254,-97.600700378418
178,224,235,1990,TUL,3330349,36.1983985900879,-95.8880996704102
179,33,37,1990,BUF,3351302,42.94049835,-78.73220062
180,47,51,1990,CMH,3500012,39.9980010986328,-82.8918991088867
181,149,157,1990,MKE,3842255,42.9472007751465,-87.896598815918
182,72,76,1990,ELP,3913925,31.80719948,-106.3779984
183,59,63,1990,DAY,3943513,39.902400970459,-84.2193984985352
184,164,174,1990,OGG,4014950,20.8985996246338,-156.429992675781
185,214,224,1990,SNA,4236297,33.67570114,-117.8679962
186,14,16,1990,AUS,4300836,30.1944999694824,-97.6698989868164
187,18,20,1990,BDL,4576166,41.9388999939,-72.6831970215
188,209,219,1990,SJC,4721548,37.3625984191895,-121.929000854492
189,2,2,1990,ABQ,4987755,35.0401992797852,-106.609001159668
190,171,181,1990,PBI,5283287,26.6832008361816,-80.0955963134766
191,113,118,1990,IND,5531043,39.7173,-86.294403
192,197,207,1990,SAT,5662537,29.5337009429932,-98.4698028564453
193,173,183,1990,PDX,5983885,45.58869934,-122.5979996
194,58,62,1990,DAL,6554869,32.8470993041992,-96.8517990112305
195,139,146,1990,MCI,6967945,39.2976,-94.713898
196,157,165,1990,MSY,7262376,29.9934005737305,-90.2580032348633
197,143,150,1990,MDW,7323089,41.7859992980957,-87.75240325927729
198,28,31,1990,BNA,7542345,36.1245002746582,-86.6781997680664
199,85,90,1990,FLL,7576362,26.0725994110107,-80.152702331543
200,108,113,1990,IAD,7682785,38.94449997,-77.45580292
201,44,48,1990,CLE,7806988,41.4117012024,-81.8498001099
202,189,199,1990,RDU,7809620,35.8776016235352,-78.7874984741211
203,55,59,1990,CVG,7811389,39.0488014221,-84.6678009033
204,144,151,1990,MEM,8059391,35.0424003601074,-89.9766998291016
205,105,110,1990,HOU,8483499,29.64539909,-95.27890015
206,34,38,1990,BWI,8684962,39.17539978,-76.66829681
207,211,221,1990,SLC,9356259,40.7883987426758,-111.97799682617199
208,223,234,1990,TPA,9974957,27.9755001068115,-82.533203125
209,120,125,1990,JFK,10276401,40.63980103,-73.77890015
210,104,109,1990,HNL,12702049,21.3187007904053,-157.921997070312
211,124,129,1990,LAS,12810609,36.08010101,-115.1520004
212,109,114,1990,IAH,12915228,29.9843997955322,-95.3414001464844
213,175,185,1990,PHL,13258353,39.871898651123,-75.241096496582
214,148,155,1990,MIA,13526484,25.7931995391846,-80.2906036376953
215,46,50,1990,CLT,13682351,35.2140007019043,-80.9430999755859
216,203,213,1990,SEA,13762773,47.4490013122559,-122.30899810791
217,60,64,1990,DCA,14772438,38.8521,-77.037697
218,141,148,1990,MCO,15412925,28.4293994903564,-81.3089981079102
219,179,189,1990,PIT,15512510,40.49150085000001,-80.23290253
220,156,164,1990,MSP,16488197,44.8819999695,-93.2218017578
221,77,81,1990,EWR,16913223,40.6925010681152,-74.168701171875
